|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 532  |00 52 15|-02 11.7|    14.0|S0         |       532|MCG+00-03-19a|   LENTICULAR GALAXY|
|UGC 11574|20 29 54|-02 10.9|    14.4|Sc         |     11574|MCG+00-52-018|       SPIRAL GALAXY|
|UGC 2947 |04 04 25|-02 10.8|    13.1|           |      2947|MCG+00-11-009|              GALAXY|
|UGC 8607 |13 37 17|-02 10.3|    15.3|S0?        |      8607|MCG+00-35-000|   LENTICULAR GALAXY|
|UGC 4460 |08 32 08|-02 10.2|    15.2|SB+COMP    |      4460|MCG+00-22-015|SPIRAL GALAXY BARRED|
|UGC 12406|23 11 46|-02 09.7|    14.3|S0         |     12406|MCG+00-59-005|   LENTICULAR GALAXY|
|UGC 5380 |10 00 33|-02 09.4|    14.3|SBa-b      |      5380|MCG+00-26-006|SPIRAL GALAXY BARRED|
|UGC 12648|23 31 58|-02 09.4|    15.1|IRR        |     12648|MCG+00-60-000|    IRREGULAR GALAXY|
|UGC 4640 |08 51 44|-02 09.3|    14.2|Sc         |      4640|MCG+00-23-007|       SPIRAL GALAXY|
|UGC 1697 |02 12 14|-02 08.9|    15.0|Sb         |      1697|MCG+00-06-052|       SPIRAL GALAXY|
|UGC 10159|16 04 24|-02 08.2|    15.3|           |     10159|MCG+00-41-003|              GALAXY|
|UGC 8223 |13 08 40|-02 08.0|    14.7|SBc        |      8223|MCG+00-34-004|SPIRAL GALAXY BARRED|
|UGC 5956 |10 51 03|-02 07.9|    12.9|PECULR     |      5956|MCG+00-28-020|              GALAXY|
|UGC 2812 |03 39 56|-02 06.3|    14.9|SB+COMP    |      2812|MCG+00-10-009|SPIRAL GALAXY BARRED|
|UGC 2683 |03 20 14|-02 06.2|    14.2|E          |      2683|MCG+00-08-062|   ELLIPTICAL GALAXY|
|UGC 8340 |13 16 34|-02 05.8|    14.5|Sc?        |      8340|MCG+00-34-021|       SPIRAL GALAXY|
|UGC 1613 |02 07 26|-02 05.8|    14.8|SBa        |      1613|MCG+00-06-034|SPIRAL GALAXY BARRED|
|UGC 6951 |11 58 10|-02 05.7|    14.2|E          |      6951|MCG+00-31-006|   ELLIPTICAL GALAXY|
|UGC 3154 |04 45 49|-02 05.6|    14.4|S          |      3154|MCG+00-13-000|              GALAXY|
|UGC 2284 |02 48 32|-02 05.6|    17.0|           |      2284|MCG+00-08-000|              GALAXY|
|UGC 6311 |11 17 57|-02 05.4|    14.3|Sc         |      6311|MCG+00-29-011|       SPIRAL GALAXY|
|UGC 1442 |01 57 32|-02 05.4|    15.7|           |      1442|MCG+00-06-006|              GALAXY|
|UGC 3156 |04 46 07|-02 04.6|    15.0|Sb/SBb     |      3156|MCG+00-13-004|       SPIRAL GALAXY|
|UGC 2814 |03 40 08|-02 04.4|    15.0|           |      2814|MCG+00-10-010|              GALAXY|
|UGC 2687 |03 20 20|-02 04.2|    15.2|SBa        |      2687|MCG+00-09-063|SPIRAL GALAXY BARRED|
|UGC 3166 |04 47 07|-02 03.7|    14.3|Sb-c       |      3166|MCG+00-13-008|       SPIRAL GALAXY|
|UGC 3127 |04 40 19|-02 02.2|    15.1|Sc         |      3127|MCG+00-12-064|       SPIRAL GALAXY|
|UGC 2443 |02 58 20|-02 02.0|    14.6|Sc         |      2443|MCG+00-08-060|       SPIRAL GALAXY|
|UGC 2632 |03 16 44|-02 02.0|    16.5|           |      2632|MCG+00-09-000|              GALAXY|
|UGC 5245 |09 47 32|-02 01.9|    15.5|           |      5245|MCG+00-25-017|              GALAXY|
|UGC 1174 |01 39 51|-02 01.8|    15.1|Sb-c       |      1174|MCG+00-05-025|       SPIRAL GALAXY|
|UGC 6780 |11 48 52|-02 01.7|    14.7|Sc         |      6780|MCG+00-30-024|       SPIRAL GALAXY|
