|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 12739|23 41 52|-01 20.4|    14.2|           |     12739|MCG+00-60-000|              GALAXY|
|UGC 5057 |09 29 27|-01 20.2|    16.5|CHAIN      |      5057|MCG+00-24-000|              GALAXY|
|UGC 1007 |01 25 57|-01 19.4|    13.7|S0         |      1007|MCG+00-04-142|   LENTICULAR GALAXY|
|UGC 3134 |04 41 44|-01 18.3|    14.4|SBb/SBc    |      3134|MCG+00-12-070|SPIRAL GALAXY BARRED|
|UGC 5323 |09 54 33|-01 18.2|    14.2|DBL SYS    |      5323|MCG+00-25-032|              GALAXY|
|UGC 7531 |12 26 16|-01 17.6|    14.9|MLT SYS    |      7531|MCG+00-32-011|              GALAXY|
|UGC 1052 |01 28 09|-01 17.5|    14.5|Sa         |      1052|MCG+00-04-158|       SPIRAL GALAXY|
|UGC 2821 |03 41 14|-01 17.4|    14.7|DBL SYS    |      2821|MCG+00-10-011|              GALAXY|
|UGC 212  |00 22 22|-01 17.4|    15.0|SB         |       212|MCG+00-02-014|SPIRAL GALAXY BARRED|
|UGC 7000 |12 01 10|-01 16.7|    14.4|IRR        |      7000|MCG+00-31-017|    IRREGULAR GALAXY|
|UGC 2576 |03 10 33|-01 16.7|    16.5|Sb-c       |      2576|MCG+00-09-000|       SPIRAL GALAXY|
|UGC 5943 |10 50 15|-01 15.9|    14.8|Sb/SBc     |      5943|MCG+00-28-018|       SPIRAL GALAXY|
|UGC 2359 |02 52 51|-01 15.8|    13.9|E          |      2359|MCG+00-08-040|   ELLIPTICAL GALAXY|
|UGC 8844 |13 55 58|-01 15.7|    15.1|SB:c       |      8844|MCG+00-36-001|SPIRAL GALAXY BARRED|
|UGC 1030 |01 27 15|-01 15.5|    14.9|E          |      1030|MCG+00-04-150|   ELLIPTICAL GALAXY|
|UGC 12769|23 45 28|-01 15.3|    16.0|           |     12769|MCG+00-60-042|              GALAXY|
|UGC 10067|15 52 05|-01 14.9|    15.6|Sc         |     10067|MCG+00-40-000|       SPIRAL GALAXY|
|UGC 6934 |11 57 34|-01 14.7|    15.2|Sc         |      6934|MCG+00-31-004|       SPIRAL GALAXY|
|UGC 1072 |01 29 45|-01 14.5|    14.7|S0         |      1072|MCG+00-04-164|   LENTICULAR GALAXY|
|UGC 666  |01 04 45|-01 13.9|    14.6|S0         |       666|MCG+00-03-069|   LENTICULAR GALAXY|
|UGC 583  |00 56 27|-01 13.8|    14.9|E          |       583|MCG+00-03-034|   ELLIPTICAL GALAXY|
|UGC 579  |00 56 15|-01 13.8|    15.0|E          |       579|MCG+00-03-032|   ELLIPTICAL GALAXY|
|UGC 8360 |13 18 10|-01 13.8|    14.3|Sc         |      8360|MCG+00-34-026|       SPIRAL GALAXY|
|UGC 11649|20 55 29|-01 13.5|    14.5|SBa        |     11649|MCG+00-53-009|SPIRAL GALAXY BARRED|
|UGC 7883 |12 42 58|-01 13.4|    14.3|Sc         |      7883|MCG+00-33-002|       SPIRAL GALAXY|
|UGC 1010 |01 26 03|-01 13.4|    15.1|E-S0       |      1010|MCG+00-04-141|   ELLIPTICAL GALAXY|
|UGC 9398 |14 36 17|-01 13.0|    15.7|SBb-c      |      9398|MCG+00-37-018|SPIRAL GALAXY BARRED|
|UGC 8801 |13 53 34|-01 12.7|    15.0|S          |      8801|MCG+00-35-025|              GALAXY|
|UGC 8009 |12 52 22|-01 12.3|    11.7|           |      8009|MCG+00-33-016|              GALAXY|
|UGC 837  |01 18 39|-01 12.2|    16.5|E-S        |       837|MCG+00-04-073|   ELLIPTICAL GALAXY|
|UGC 4455 |08 31 33|-01 12.2|    15.0|SBa        |      4455|MCG+00-22-014|SPIRAL GALAXY BARRED|
|UGC 587  |00 56 57|-01 11.8|    15.3|           |       587|MCG+00-03-038|              GALAXY|
|UGC 6608 |11 38 34|-01 11.6|    14.5|S          |      6608|MCG+00-30-017|              GALAXY|
|UGC 272  |00 27 52|-01 11.4|    15.5|Sc         |       272|MCG+00-02-036|       SPIRAL GALAXY|
|UGC 7963 |12 47 52|-01 11.4|    15.7|Sc         |      7963|MCG+00-33-000|       SPIRAL GALAXY|
|UGC 2517 |03 04 09|-01 11.3|    14.9|SB         |      2517|MCG+00-08-080|SPIRAL GALAXY BARRED|
|UGC 3202 |04 55 14|-01 11.3|    15.1|SBa-b      |      3202|MCG+00-13-034|SPIRAL GALAXY BARRED|
|UGC 2385 |02 55 03|-01 10.9|    15.5|Sc         |      2385|MCG+00-08-046|       SPIRAL GALAXY|
|UGC 11853|21 56 23|-01 10.7|    15.4|Sc         |     11853|MCG+00-56-003|       SPIRAL GALAXY|
|UGC 3283 |05 17 44|-01 09.8|    16.5|Sc         |      3283|MCG+00-14-000|       SPIRAL GALAXY|
|UGC 2587 |03 11 57|-01 09.8|    16.0|Sb         |      2587|MCG+00-09-021|       SPIRAL GALAXY|
|UGC 3170 |04 47 38|-01 09.7|    15.5|Sa         |      3170|MCG+00-13-011|       SPIRAL GALAXY|
|UGC 2345 |02 51 51|-01 09.7|    16.0|DWRF SP    |      2345|MCG+00-08-035|        DWARF GALAXY|
|UGC 1929 |02 27 39|-01 09.6|    11.3|SB0        |      1929|MCG+00-07-017|SPIRAL GALAXY BARRED|
|UGC 8526 |13 32 58|-01 09.4|    14.5|           |      8526|MCG+00-35-008|              GALAXY|
|UGC 9040 |14 08 40|-01 09.2|    14.1|S0-a       |      9040|MCG+00-36-020|   LENTICULAR GALAXY|
|UGC 9359 |14 33 16|-01 09.2|    15.6|           |      9359|MCG+00-37-000|              GALAXY|
|UGC 2969 |04 09 02|-01 09.1|    14.8|Sb-c       |      2969|MCG+00-11-018|       SPIRAL GALAXY|
|UGC 9079 |14 11 34|-01 09.1|    13.4|Sc         |      9079|MCG+00-36-026|       SPIRAL GALAXY|
|UGC 11527|20 13 53|-01 08.9|    14.4|S          |     11527|MCG+00-51-010|              GALAXY|
|UGC 1954 |02 28 33|-01 08.6|    13.4|Sc         |      1954|MCG+00-07-022|       SPIRAL GALAXY|
|UGC 1043 |01 27 39|-01 07.5|    15.1|E          |      1043|MCG+00-04-153|   ELLIPTICAL GALAXY|
|UGC 9631 |14 58 23|-01 07.0|    13.5|SBb        |      9631|MCG+00-38-012|SPIRAL GALAXY BARRED|
|UGC 8790 |13 52 58|-01 06.8|    13.7|SBc        |      8790|MCG+00-35-024|SPIRAL GALAXY BARRED|
|UGC 1986 |02 30 33|-01 06.7|    13.0|Sa-b       |      1986|MCG+00-07-027|       SPIRAL GALAXY|
|UGC 1525 |02 02 15|-01 06.6|    15.7|E          |      1525|MCG+00-06-025|   ELLIPTICAL GALAXY|
|UGC 6408 |11 23 40|-01 06.5|    13.8|S+COMP     |      6408|MCG+00-29-025|              GALAXY|
|UGC 328  |00 33 22|-01 06.5|    16.0|           |       328|MCG+00-02-070|              GALAXY|
|UGC 2690 |03 20 45|-01 06.2|    14.8|Sb-c       |      2690|MCG+00-09-066|       SPIRAL GALAXY|
|UGC 1116 |01 33 33|-01 05.6|    15.2|Sc-IRR     |      1116|MCG+00-05-007|       SPIRAL GALAXY|
|UGC 1040 |01 27 33|-01 05.5|    14.8|S0-a       |      1040|MCG+00-04-152|   LENTICULAR GALAXY|
|UGC 295  |00 29 28|-01 05.4|    16.0|SBb        |       295|MCG+00-02-056|SPIRAL GALAXY BARRED|
|UGC 2514 |03 03 45|-01 05.3|    14.7|S0-a       |      2514|MCG+00-08-078|   LENTICULAR GALAXY|
|UGC 109  |00 11 52|-01 05.3|    17.0|S-IRR      |       109|MCG+00-01-037|              GALAXY|
|UGC 2505 |03 02 57|-01 05.3|    18.0|DWRF IR    |      2505|MCG+00-08-073|        DWARF GALAXY|
|UGC 1354 |01 53 03|-01 05.2|    15.7|Sa-b       |      1354|MCG+00-05-043|       SPIRAL GALAXY|
|UGC 6993 |12 00 22|-01 04.7|    12.4|Sb         |      6993|MCG+00-31-016|       SPIRAL GALAXY|
|UGC 6796 |11 49 28|-01 04.7|    14.4|S0         |      6796|MCG+00-30-028|   LENTICULAR GALAXY|
|UGC 6793 |11 49 22|-01 04.7|    14.8|Sb         |      6793|MCG+00-30-026|       SPIRAL GALAXY|
|UGC 1120 |01 34 03|-01 04.6|    14.9|SB:a       |      1120|MCG+00-05-009|SPIRAL GALAXY BARRED|
|UGC 7337 |12 18 10|-01 03.7|    14.7|Sb-c       |      7337|MCG+00-31-046|       SPIRAL GALAXY|
|UGC 12492|23 18 58|-01 03.6|    14.9|S0         |     12492|MCG+00-59-020|   LENTICULAR GALAXY|
|UGC 2699 |03 22 03|-01 03.3|    16.5|S?         |      2699|MCG+00-09-000|              GALAXY|
|UGC 11982|22 18 52|-01 02.9|    15.7|Sc         |     11982|MCG+00-56-000|       SPIRAL GALAXY|
|UGC 661  |01 04 21|-01 02.9|    14.9|S0-a       |       661|MCG+00-03-067|   LENTICULAR GALAXY|
|UGC 7011 |12 01 58|-01 02.7|    15.3|Sb         |      7011|MCG+00-31-019|       SPIRAL GALAXY|
|UGC 4370 |08 22 27|-01 02.7|    14.9|Sc         |      4370|MCG+00-22-004|       SPIRAL GALAXY|
|UGC 4651 |08 53 03|-01 02.4|    17.0|           |      4651|MCG+00-23-000|              GALAXY|
|UGC 8584 |13 36 16|-01 02.3|    15.4|TRP SYS    |      8584|MCG+00-35-011|              GALAXY|
|UGC 2691 |03 20 45|-01 02.2|    14.9|DBL SYS    |      2691|MCG+00-09-067|              GALAXY|
|UGC 1321 |01 51 09|-01 02.2|    16.0|S0         |      1321|MCG+00-05-000|   LENTICULAR GALAXY|
|UGC 3037 |04 24 51|-01 02.2|    15.7|Sb-c       |      3037|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 8238 |13 09 40|-01 02.0|    14.9|Sc         |      8238|MCG+00-34-011|       SPIRAL GALAXY|
|UGC 12262|22 57 16|-01 01.9|    13.8|SBa        |     12262|MCG+00-58-014|SPIRAL GALAXY BARRED|
|UGC 568  |00 55 15|-01 01.8|    15.7|COMPACT    |       568|MCG+00-03-025|              GALAXY|
|UGC 1123 |01 34 09|-01 01.6|    14.4|Sa-b       |      1123|MCG+00-05-010|       SPIRAL GALAXY|
|UGC 2735 |03 25 39|-01 01.5|    15.6|SB         |      2735|MCG+00-09-084|SPIRAL GALAXY BARRED|
|UGC 12114|22 37 28|-01 01.4|    16.5|           |     12114|MCG+00-57-005|              GALAXY|
|UGC 8530 |13 33 10|-01 01.4|    13.9|Sb/SBb     |      8530|MCG+00-35-009|       SPIRAL GALAXY|
|UGC 789  |01 14 39|-01 01.1|    14.5|PECULR     |       789|MCG+00-04-054|              GALAXY|
|UGC 12208|22 50 10|-01 01.1|    15.2|SBc        |     12208|MCG+00-58-005|SPIRAL GALAXY BARRED|
|UGC 842  |01 18 57|-01 00.2|    15.4|           |       842|MCG+00-04-077|              GALAXY|
|UGC 11576|20 30 23|-00 59.9|    15.2|           |     11576|MCG+00-52-021|              GALAXY|
|UGC 2319 |02 49 57|-00 59.6|    15.6|Sc         |      2319|MCG+00-08-026|       SPIRAL GALAXY|
|UGC 6457 |11 27 16|-00 59.5|    15.0|IRR        |      6457|MCG+00-29-034|    IRREGULAR GALAXY|
|UGC 12848|23 56 10|-00 59.3|    14.8|SBb        |     12848|MCG+00-01-004|SPIRAL GALAXY BARRED|
|UGC 10030|15 47 05|-00 59.2|    15.4|SBa-b      |     10030|MCG+00-40-010|SPIRAL GALAXY BARRED|
|UGC 2061 |02 34 33|-00 57.9|    16.0|S          |      2061|MCG+00-07-047|              GALAXY|
|UGC 3113 |04 38 03|-00 57.1|    16.5|Sc         |      3113|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 1061 |01 28 57|-00 56.5|    14.2|SB0/SBa    |      1061|MCG+00-04-162|SPIRAL GALAXY BARRED|
|UGC 8202 |13 07 34|-00 56.0|    14.0|Sc         |      8202|MCG+00-34-002|       SPIRAL GALAXY|
|UGC 5515 |10 13 39|-00 55.9|    14.4|E OR D     |      5515|MCG+00-26-030|   ELLIPTICAL GALAXY|
|UGC 1092 |01 31 39|-00 55.6|    14.2|Sa         |      1092|MCG+00-05-001|       SPIRAL GALAXY|
|UGC 6402 |11 23 22|-00 55.5|    14.4|           |      6402|MCG+00-29-024|              GALAXY|
|UGC 12852|23 56 16|-00 55.3|    14.3|Sb-c       |     12852|MCG+00-01-006|       SPIRAL GALAXY|
|UGC 570  |00 55 57|-00 53.8|    15.3|E          |       570|MCG+00-03-029|   ELLIPTICAL GALAXY|
|UGC 3221 |04 58 45|-00 53.5|    15.5|S          |      3221|MCG+00-13-055|              GALAXY|
|UGC 2177 |02 42 03|-00 53.2|    16.0|Sc         |      2177|MCG+00-07-000|       SPIRAL GALAXY|
|UGC 2311 |02 49 27|-00 52.6|    13.9|SBb        |      2311|MCG+00-08-024|SPIRAL GALAXY BARRED|
|UGC 6340 |11 19 58|-00 52.4|    14.1|Sb         |      6340|MCG+00-29-016|       SPIRAL GALAXY|
|UGC 915  |01 22 21|-00 52.3|    14.1|SBb/SBc    |       915|MCG+00-04-100|SPIRAL GALAXY BARRED|
|UGC 1603 |02 06 45|-00 51.7|    15.6|           |      1603|MCG+00-06-032|              GALAXY|
|UGC 4381 |08 23 15|-00 51.7|    14.8|Sb-c       |      4381|MCG+00-22-006|       SPIRAL GALAXY|
|UGC 9682 |15 04 28|-00 51.6|    15.3|           |      9682|MCG+00-38-021|              GALAXY|
|UGC 7545 |12 26 52|-00 51.6|    14.2|Sa         |      7545|MCG+00-32-012|       SPIRAL GALAXY|
|UGC 806  |01 15 33|-00 51.2|        |Sc         |       806|MCG+00-04-062|       SPIRAL GALAXY|
|UGC 807  |01 15 33|-00 51.2|    13.0|S          |       807|MCG+00-04-064|              GALAXY|
|UGC 588  |00 57 03|-00 50.8|    15.1|           |       588|MCG+00-03-039|              GALAXY|
|UGC 3029 |04 23 57|-00 50.1|    15.5|Sb         |      3029|MCG+00-12-024|       SPIRAL GALAXY|
|UGC 5528 |10 14 39|-00 49.9|    14.8|           |      5528|MCG+00-26-033|              GALAXY|
|UGC 11712|21 16 28|-00 49.4|    14.3|S          |     11712|MCG+00-54-010|              GALAXY|
|UGC 3022 |04 21 57|-00 49.0|    16.0|S          |      3022|MCG+00-12-018|              GALAXY|
|UGC 1698 |02 12 15|-00 49.0|    15.3|SBa        |      1698|MCG+00-06-051|SPIRAL GALAXY BARRED|
|UGC 2545 |03 06 51|-00 47.5|    13.5|SB0/SBa    |      2545|MCG+00-08-093|SPIRAL GALAXY BARRED|
|UGC 6435 |11 25 34|-00 46.5|    14.2|S0         |      6435|MCG+00-29-031|   LENTICULAR GALAXY|
|UGC 1727 |02 14 33|-00 46.0|    14.0|Sa         |      1727|MCG+00-06-056|       SPIRAL GALAXY|
|UGC 2291 |02 48 51|-00 45.6|    14.5|SB:b       |      2291|MCG+00-08-021|SPIRAL GALAXY BARRED|
|UGC 1367 |01 54 03|-00 45.3|    17.0|DWARF      |      1367|MCG+00-05-000|        DWARF GALAXY|
|UGC 1365 |01 53 57|-00 45.3|    14.6|S          |      1365|MCG+00-05-044|              GALAXY|
|UGC 662  |01 04 21|-00 44.9|    14.8|E-S0       |       662|MCG+00-03-066|   ELLIPTICAL GALAXY|
|UGC 9447 |14 39 46|-00 44.9|    14.5|SBc        |      9447|MCG+00-37-021|SPIRAL GALAXY BARRED|
|UGC 2343 |02 51 39|-00 44.7|    15.2|Sa         |      2343|MCG+00-08-034|       SPIRAL GALAXY|
|UGC 2482 |03 01 03|-00 44.2|    16.5|           |      2482|MCG+00-08-067|              GALAXY|
|UGC 3031 |04 24 21|-00 44.1|    14.9|           |      3031|MCG+00-12-026|              GALAXY|
|UGC 3032 |04 24 21|-00 44.1|    14.9|E-S        |      3032|MCG+00-12-027|   ELLIPTICAL GALAXY|
|UGC 1296 |01 50 03|-00 44.1|    15.5|S          |      1296|MCG+00-05-037|              GALAXY|
|UGC 1748 |02 15 57|-00 44.1|    15.6|           |      1748|MCG+00-06-000|              GALAXY|
|UGC 1713 |02 13 33|-00 44.0|    14.4|Sa         |      1713|MCG+00-06-054|       SPIRAL GALAXY|
|UGC 4996 |09 23 15|-00 43.9|    14.2|Sb-c       |      4996|MCG+00-24-009|       SPIRAL GALAXY|
|UGC 11863|21 58 28|-00 43.6|    15.7|DWRF SP    |     11863|MCG+00-56-000|        DWARF GALAXY|
|UGC 9697 |15 05 46|-00 43.6|    16.0|           |      9697|MCG+00-38-000|              GALAXY|
|UGC 139  |00 14 34|-00 43.3|    14.8|Sc         |       139|MCG+00-01-043|       SPIRAL GALAXY|
|UGC 72   |00 08 40|-00 43.3|    15.5|Sa         |        72|MCG+00-01-028|       SPIRAL GALAXY|
|UGC 2925 |04 01 03|-00 42.6|    17.0|           |      2925|MCG+00-11-006|              GALAXY|
|UGC 2088 |02 36 09|-00 42.0|    16.5|Sc         |      2088|MCG+00-07-000|       SPIRAL GALAXY|
|UGC 7004 |12 01 28|-00 41.7|    15.0|SBc        |      7004|MCG+00-31-018|SPIRAL GALAXY BARRED|
|UGC 1588 |02 05 39|-00 41.7|    15.7|Sc         |      1588|MCG+00-06-029|       SPIRAL GALAXY|
|UGC 1106 |01 32 57|-00 41.6|    14.9|Sc         |      1106|MCG+00-05-003|       SPIRAL GALAXY|
|UGC 931  |01 23 15|-00 41.4|    15.7|S          |       931|MCG+00-04-109|              GALAXY|
|UGC 3015 |04 20 15|-00 40.9|    14.4|S0         |      3015|MCG+00-12-007|   LENTICULAR GALAXY|
|UGC 3263 |05 11 33|-00 40.4|    16.0|SBc        |      3263|MCG+00-14-014|SPIRAL GALAXY BARRED|
|UGC 5205 |09 44 09|-00 39.8|    15.4|IRR        |      5205|MCG+00-25-011|    IRREGULAR GALAXY|
|UGC 5472 |10 08 33|-00 39.7|    14.7|SBb-c      |      5472|MCG+00-26-023|SPIRAL GALAXY BARRED|
|UGC 750  |01 11 45|-00 39.1|    14.2|           |       750|MCG+00-04-031|              GALAXY|
|UGC 11579|20 30 58|-00 38.8|    16.0|Sc         |     11579|MCG+00-52-026|       SPIRAL GALAXY|
|UGC 7893 |12 43 16|-00 38.4|    13.8|S          |      7893|MCG+00-33-004|              GALAXY|
|UGC 928  |01 23 09|-00 38.4|    15.2|S0         |       928|MCG+00-04-108|   LENTICULAR GALAXY|
|UGC 8993 |14 04 52|-00 38.3|    14.8|SBa        |      8993|MCG+00-36-016|SPIRAL GALAXY BARRED|
|UGC 4141 |07 59 09|-00 38.2|    14.2|SBa        |      4141|MCG+00-21-001|SPIRAL GALAXY BARRED|
|UGC 5922 |10 49 04|-00 37.9|    14.7|SB         |      5922|MCG+00-28-012|SPIRAL GALAXY BARRED|
|UGC 4915 |09 17 27|-00 37.6|    15.0|Sb-c       |      4915|MCG+00-24-005|       SPIRAL GALAXY|
|UGC 1839 |02 22 33|-00 37.4|    15.6|           |      1839|MCG+00-07-08 |              GALAXY|
|UGC 9263 |14 27 46|-00 36.4|    15.6|           |      9263|MCG+00-37-007|              GALAXY|
|UGC 8994 |14 04 52|-00 36.3|    14.7|Sb/SBc     |      8994|MCG+00-36-017|       SPIRAL GALAXY|
|UGC 3041 |04 25 45|-00 36.2|    16.5|Sc         |      3041|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 6011 |10 53 28|-00 36.0|    16.5|GROUP      |      6011|MCG+00-28-000|              GALAXY|
|UGC 4392 |08 25 03|-00 35.8|    14.0|Sb         |      4392|MCG+00-22-010|       SPIRAL GALAXY|
|UGC 1876 |02 25 03|-00 35.5|    16.5|S          |      1876|MCG+00-07-000|              GALAXY|
|UGC 1949 |02 28 21|-00 34.6|    18.0|DWARF      |      1949|MCG+00-07-000|        DWARF GALAXY|
|UGC 3264 |05 11 33|-00 34.4|    14.7|S0-a       |      3264|MCG+00-14-013|   LENTICULAR GALAXY|
|UGC 3262 |05 11 27|-00 34.4|    15.6|S          |      3262|MCG+00-14-012|              GALAXY|
|UGC 3126 |04 40 03|-00 34.2|    13.5|SB0/SBa    |      3126|MCG+00-12-063|SPIRAL GALAXY BARRED|
|UGC 5736 |10 33 52|-00 33.5|    15.6|Sb-c       |      5736|MCG+00-27-029|       SPIRAL GALAXY|
|UGC 1062 |01 28 57|-00 33.5|    14.0|S          |      1062|MCG+00-04-163|              GALAXY|
|UGC 5985 |10 52 10|-00 33.0|    14.2|Sa         |      5985|MCG+00-28-022|       SPIRAL GALAXY|
|UGC 10642|16 59 52|-00 32.4|    15.7|DWF SYS    |     10642|MCG+00-43-006|        DWARF GALAXY|
|UGC 7900 |12 43 52|-00 32.4|    13.7|Sc         |      7900|MCG+00-33-006|       SPIRAL GALAXY|
|UGC 892  |01 21 15|-00 32.3|    14.5|SBa        |       892|MCG+00-04-095|SPIRAL GALAXY BARRED|
|UGC 7819 |12 39 16|-00 31.5|    12.6|Sc-IRR     |      7819|MCG+00-32-032|       SPIRAL GALAXY|
|UGC 7931 |12 45 34|-00 31.4|    13.5|IRR        |      7931|MCG+00-33-009|    IRREGULAR GALAXY|
|UGC 9526 |14 47 34|-00 30.5|    17.0|Sc         |      9526|MCG+00-38-000|       SPIRAL GALAXY|
|UGC 224  |00 23 34|-00 30.4|    15.4|DISRPTD    |       224|MCG+00-02-018|              GALAXY|
|UGC 4768 |09 05 15|-00 30.0|    16.5|Sb-c       |      4768|MCG+00-23-000|       SPIRAL GALAXY|
|UGC 4754 |09 03 51|-00 29.9|    16.0|Sb-c       |      4754|MCG+00-23-000|       SPIRAL GALAXY|
|UGC 6979 |11 59 10|-00 29.7|    14.3|PECULR     |      6979|MCG+00-31-012|              GALAXY|
|UGC 3222 |04 58 51|-00 29.5|    13.9|E          |      3222|MCG+00-13-056|   ELLIPTICAL GALAXY|
|UGC 2245 |02 46 27|-00 29.4|    11.4|Sc         |      2245|MCG+00-08-009|       SPIRAL GALAXY|
|UGC 793  |01 14 51|-00 29.1|    14.5|DBL SYS    |       793|MCG+00-04-055|              GALAXY|
|UGC 651  |01 03 40|-00 28.9|    16.0|Sc         |       651|MCG+00-03-064|       SPIRAL GALAXY|
|UGC 1429 |01 57 09|-00 28.4|    15.5|Sc         |      1429|MCG+00-06-005|       SPIRAL GALAXY|
|UGC 2628 |03 16 33|-00 28.0|    14.9|Sb-c       |      2628|MCG+00-09-040|       SPIRAL GALAXY|
|UGC 7926 |12 45 10|-00 26.4|    12.0|Sc         |      7926|MCG+00-33-008|       SPIRAL GALAXY|
|UGC 9420 |14 37 52|-00 25.0|    12.9|S          |      9420|MCG+00-37-020|              GALAXY|
|UGC 3239 |05 04 15|-00 24.9|    15.7|Sa-b       |      3239|MCG+00-13-000|       SPIRAL GALAXY|
|UGC 5792 |10 39 10|-00 24.6|    14.8|Sa?        |      5792|MCG+00-27-035|       SPIRAL GALAXY|
|UGC 4358 |08 21 27|-00 24.6|    16.0|           |      4358|MCG+00-22-000|              GALAXY|
|UGC 599  |00 57 46|-00 23.8|    14.7|E?+COMP    |       599|MCG+00-03-042|   ELLIPTICAL GALAXY|
|UGC 2585 |03 11 45|-00 23.7|    14.4|SBb        |      2585|MCG+00-09-018|SPIRAL GALAXY BARRED|
|UGC 5796 |10 39 22|-00 23.6|    14.5|           |      5796|MCG+00-27-037|              GALAXY|
|UGC 8473 |13 29 28|-00 23.5|    17.0|DWARF      |      8473|MCG+00-34-000|        DWARF GALAXY|
|UGC 929  |01 23 10|-00 23.4|    14.9|Sc         |       929|MCG+00-04-107|       SPIRAL GALAXY|
|UGC 5827 |10 42 16|-00 22.7|    13.6|S          |      5827|MCG+00-27-042|              GALAXY|
|UGC 9201 |14 22 22|-00 22.6|    12.8|Sc         |      9201|MCG+00-37-001|       SPIRAL GALAXY|
|UGC 2529 |03 05 27|-00 22.4|    16.0|S          |      2529|MCG+00-08-090|              GALAXY|
|UGC 4004 |07 44 57|-00 22.3|    15.6|S          |      4004|MCG+00-20-000|              GALAXY|
|UGC 4253 |08 09 15|-00 21.9|    14.5|Sb-c       |      4253|MCG+00-21-007|       SPIRAL GALAXY|
|UGC 7720 |12 34 10|-00 21.5|    14.8|SBa-b      |      7720|MCG+00-32-022|SPIRAL GALAXY BARRED|
|UGC 2692 |03 20 57|-00 21.2|    14.1|Sc         |      2692|MCG+00-09-068|       SPIRAL GALAXY|
|UGC 8176 |13 05 16|-00 21.1|    18.0|           |      8176|MCG+00-33-000|              GALAXY|
|UGC 2832 |03 42 21|-00 20.5|    16.5|Sc-IRR     |      2832|MCG+00-10-015|       SPIRAL GALAXY|
|UGC 867  |01 20 16|-00 20.3|    15.5|Sb-c       |       867|MCG+00-04-088|       SPIRAL GALAXY|
|UGC 762  |01 12 58|-00 20.1|    14.4|S0         |       762|MCG+00-04-037|   LENTICULAR GALAXY|
|UGC 9462 |14 40 58|-00 19.8|    13.8|Sb         |      9462|MCG+00-37-024|       SPIRAL GALAXY|
|UGC 1901 |02 26 09|-00 19.5|    13.9|SBb        |      1901|MCG+00-07-011|SPIRAL GALAXY BARRED|
|UGC 1401 |01 55 57|-00 19.3|    16.5|Sc         |      1401|MCG+00-05-000|       SPIRAL GALAXY|
|UGC 2594 |03 12 45|-00 18.8|    14.5|SB:0-a     |      2594|MCG+00-09-024|SPIRAL GALAXY BARRED|
|UGC 8357 |13 17 58|-00 18.8|    14.5|TRP SYS    |      8357|MCG+00-34-025|              GALAXY|
|UGC 3062 |04 30 39|-00 18.6|    14.3|Sb         |      3062|MCG+00-12-036|       SPIRAL GALAXY|
|UGC 432  |00 40 40|-00 18.5|    14.8|Sb         |       432|MCG+00-02-121|       SPIRAL GALAXY|
|UGC 3109 |04 37 33|-00 18.0|    16.5|           |      3109|MCG+00-12-059|              GALAXY|
|UGC 9451 |14 40 10|-00 17.8|    11.7|Sc         |      9451|MCG+00-37-022|       SPIRAL GALAXY|
|UGC 1180 |01 40 22|-00 17.8|    16.0|COMPACT    |      1180|MCG+00-05-027|              GALAXY|
|UGC 1597 |02 06 15|-00 17.7|    14.6|S0         |      1597|MCG+00-06-030|   LENTICULAR GALAXY|
|UGC 2262 |02 47 27|-00 17.5|    13.5|Sa/Sb      |      2262|MCG+00-08-015|       SPIRAL GALAXY|
|UGC 8481 |13 29 52|-00 17.5|    16.5|Sc         |      8481|MCG+00-34-000|       SPIRAL GALAXY|
|UGC 150  |00 15 58|-00 17.3|    15.4|S          |       150|MCG+00-01-048|              GALAXY|
|UGC 760  |01 12 52|-00 17.1|    14.4|E          |       760|MCG+00-04-035|   ELLIPTICAL GALAXY|
|UGC 1225 |01 44 58|-00 17.0|    16.5|DBL SYS    |      1225|MCG+00-05-034|              GALAXY|
|UGC 4923 |09 17 52|-00 16.6|    14.9|SB:a-b     |      4923|MCG+00-24-006|SPIRAL GALAXY BARRED|
|UGC 1481 |02 00 03|-00 16.5|    15.6|Sa-b       |      1481|MCG+00-06-000|       SPIRAL GALAXY|
|UGC 10541|16 47 10|-00 16.3|    15.5|Sa?        |     10541|MCG+00-43-000|       SPIRAL GALAXY|
|UGC 8048 |12 55 40|-00 16.2|    17.0|DWARF      |      8048|MCG+00-33-000|        DWARF GALAXY|
|UGC 734  |01 10 40|-00 16.1|    15.6|S          |       734|MCG+00-04-022|              GALAXY|
|UGC 5223 |09 45 52|-00 15.9|    14.6|S0-a       |      5223|MCG+00-25-013|   LENTICULAR GALAXY|
|UGC 2287 |02 48 39|-00 15.6|    14.8|SBa        |      2287|MCG+00-08-019|SPIRAL GALAXY BARRED|
|UGC 3226 |04 59 33|-00 15.6|    14.5|Sa         |      3226|MCG+00-13-060|       SPIRAL GALAXY|
|UGC 1794 |02 19 45|-00 15.3|    14.6|SBb        |      1794|MCG+00-07-001|SPIRAL GALAXY BARRED|
