|name          |ra      |dec     |maj_axis|mag    |cat_num  |cdec     |cra     |
|MCG+00-02-005 |00 20 28|+00 49.6|    4.00|   14.0|NGC   78B|+004938.5|002027.8|
|MCG+00-02-006 |00 20 28|-00 33.4|    3.00|   15.5|         |-003321.5|002027.6|
|MCG+00-02-007 |00 20 34|-00 28.4|   10.00|   15.5|         |-002821.5|002033.6|
|MCG+00-02-008 |00 20 46|+01 57.7|    0.00|   15.5|         |+015738.4|002045.9|
|MCG+00-02-009 |00 20 54|-01 49.4|    7.00|   15.5|         |-014921.7|002054.5|
|MCG+00-02-010 |00 21 00|-01 48.4|    6.00|   15.5|         |-014821.7|002100.5|
|MCG+00-02-011 |00 21 31|+03 35.6|    8.00|   15.0|         |+033538.1|002131.0|
|MCG+00-02-012 |00 22 06|-01 26.3|    9.00|   15.5|         |-012622.1|002206.5|
|MCG+00-02-013 |00 22 22|-00 56.4|    6.00|   14.5|         |-005622.2|002221.6|
|MCG+00-02-014 |00 22 22|-01 18.4|   15.00|   15.0|         |-011822.2|002221.5|
|MCG+00-02-015 |00 22 22|-01 18.4|    0.00|   15.0|         |-011822.2|002221.5|
|MCG+00-02-016 |00 23 19|+01 50.6|    8.00|   15.0|         |+015037.4|002318.9|
|MCG+00-02-017 |00 23 34|-00 06.4|    4.00|   15.5|         |-000622.7|002333.7|
|MCG+00-02-018 |00 23 34|-00 29.4|    4.00|   16.0|         |-002922.7|002333.6|
|MCG+00-02-019 |00 23 34|-00 30.4|    4.00|   16.0|         |-003022.7|002333.6|
|MCG+00-02-020 |00 24 18|-01 38.4|    6.00|   15.0|         |-013823.0|002418.5|
|MCG+00-02-021 |00 24 34|+03 19.6|    6.00|   15.5|         |+031936.9|002434.1|
|MCG+00-02-022 |00 24 40|+03 17.6|    2.30|   15.5|         |+031736.8|002440.1|
|MCG+00-02-023 |00 24 52|+00 32.6|    5.00|   15.0|         |+003236.7|002451.7|
|MCG+00-02-024 |00 24 52|-01 24.4|    5.00|   15.0|         |-012423.3|002451.5|
|MCG+00-02-025 |00 25 16|-01 06.4|   10.00|   14.5|         |-010623.5|002515.5|
|MCG+00-02-026 |00 26 22|+01 00.6|    6.50|   15.5|         |+010036.0|002621.8|
|MCG+00-02-027 |00 26 57|-01 46.4|    8.00|   14.0|NGC  114 |-014624.3|002657.4|
|MCG+00-02-028 |00 27 04|+00 27.6|    6.00|   15.5|         |+002735.7|002703.7|
|MCG+00-02-029 |00 27 07|+01 20.6|    8.00|   15.0|NGC  117 |+012035.7|002706.8|
|MCG+00-02-030 |00 27 06|-00 51.4|    4.00|   17.0|         |-005124.3|002706.6|
|MCG+00-02-031 |00 27 06|-00 51.4|    4.00|   17.0|         |-005124.3|002706.6|
|MCG+00-02-032 |00 27 15|-01 47.4|    6.00|   14.0|NGC  118 |-014724.4|002715.4|
|MCG+00-02-033 |00 27 27|-01 30.4|   10.00|   13.5|NGC  120 |-013024.5|002727.5|
|MCG+00-02-034 |00 27 40|+00 31.6|    6.00|   15.0|         |+003135.4|002739.7|
|MCG+00-02-035 |00 27 46|+03 28.6|    5.00|   15.5|         |+032835.3|002746.1|
|MCG+00-02-036 |00 27 46|-01 12.4|   12.00|   14.0|         |-011224.7|002745.5|
|MCG+00-02-037 |00 27 52|+02 31.6|   20.00|   13.5|IC   17  |+023135.3|002752.0|
|MCG+00-02-038 |00 27 51|-01 48.4|   14.00|   13.0|NGC  124 |-014824.7|002751.4|
|MCG+00-02-039 |00 28 10|+03 14.6|   10.00|   14.5|         |+031435.1|002810.1|
|MCG+00-02-040 |00 28 10|+03 23.6|   15.00|   14.5|         |+032335.1|002810.1|
|MCG+00-02-041 |00 28 16|+03 23.6|   10.00|   14.0|         |+032335.1|002816.1|
|MCG+00-02-042 |00 28 16|+02 32.6|   10.00|   14.0|         |+023235.1|002816.0|
|MCG+00-02-043 |00 28 22|-00 13.4|   10.00|   15.0|         |-001325.0|002821.6|
|MCG+00-02-044 |00 28 25|+02 37.6|    4.00|   15.5|         |+023735.0|002825.0|
|MCG+00-02-045 |00 28 28|+02 56.6|    9.00|   14.5|         |+025635.0|002828.1|
